"TIME","GEO","GEO_LABEL","INDIC","INDIC_LABEL","S_ADJ","S_ADJ_LABEL","Value"
"1999M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.4"
"1999M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.5"
"1999M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.6"
"1999M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.6"
"1999M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.6"
"1999M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.4"
"1999M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.3"
"1999M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.2"
"1999M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.0"
"1999M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
"1999M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.4"
"1999M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.6"
"2000M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.6"
"2000M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.8"
"2000M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.0"
"2000M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.0"
"2000M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.2"
"2000M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.2"
"2000M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.1"
"2000M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.1"
"2000M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.2"
"2000M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.2"
"2000M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.2"
"2000M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.1"
"2001M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","1.0"
"2001M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.9"
"2001M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.6"
"2001M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.4"
"2001M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.3"
"2001M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.1"
"2001M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.1"
"2001M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.2"
"2001M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.6"
"2001M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.8"
"2001M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.9"
"2001M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.8"
"2002M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.9"
"2002M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.6"
"2002M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.7"
"2002M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.5"
"2002M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.4"
"2002M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.5"
"2002M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.5"
"2002M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.6"
"2002M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.5"
"2002M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.4"
"2002M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.3"
"2002M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.3"
"2003M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.3"
"2003M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.3"
"2003M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.6"
"2003M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.6"
"2003M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.8"
"2003M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.8"
"2003M07","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.8"
"2003M08","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.6"
"2003M09","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.6"
"2003M10","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.4"
"2003M11","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.2"
"2003M12","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.2"
"2004M01","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.2"
"2004M02","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.3"
"2004M03","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","-0.2"
"2004M04","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.1"
"2004M05","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.1"
"2004M06","EA19","Euro area (19 countries)","BS-BCI","Business Climate Indicator","SA","Seasonally adjusted data, not calendar adjusted data","0.2"
