"TIME","GEO","GEO_LABEL","INDIC_BT","INDIC_BT_LABEL","NACE_R2","NACE_R2_LABEL","S_ADJ","S_ADJ_LABEL","UNIT","UNIT_LABEL","Value"
"1992Q1","EU28","European Union (current composition)","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","EU28","European Union (current composition)","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","EA19","Euro area (19 countries)","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","EA19","Euro area (19 countries)","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","BE","Belgium","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","BE","Belgium","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","BG","Bulgaria","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","BG","Bulgaria","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","CZ","Czechia","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","CZ","Czechia","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","DK","Denmark","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","DK","Denmark","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","DE","Germany (until 1990 former territory of the FRG)","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","DE","Germany (until 1990 former territory of the FRG)","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","EE","Estonia","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","EE","Estonia","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","IE","Ireland","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","IE","Ireland","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","EL","Greece","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","EL","Greece","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","ES","Spain","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","ES","Spain","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","FR","France","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","FR","France","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","HR","Croatia","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","HR","Croatia","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","IT","Italy","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","IT","Italy","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","CY","Cyprus","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","CY","Cyprus","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","LV","Latvia","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","LV","Latvia","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","LT","Lithuania","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","LT","Lithuania","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","LU","Luxembourg","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","LU","Luxembourg","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","HU","Hungary","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","HU","Hungary","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","MT","Malta","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","MT","Malta","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","NL","Netherlands","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","NL","Netherlands","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","AT","Austria","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","AT","Austria","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","PL","Poland","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","PL","Poland","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","PT","Portugal","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","PT","Portugal","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","RO","Romania","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","RO","Romania","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","SI","Slovenia","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","SI","Slovenia","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","SK","Slovakia","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","SK","Slovakia","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","FI","Finland","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","FI","Finland","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","SE","Sweden","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","SE","Sweden","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","UK","United Kingdom","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","UK","United Kingdom","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","NO","Norway","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","NO","Norway","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","ME","Montenegro","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","ME","Montenegro","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","MK","Former Yugoslav Republic of Macedonia, the","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","MK","Former Yugoslav Republic of Macedonia, the","PSQM","Building permits - m2 of useful floor area","F_CC112","Two- and more dwelling buildings","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1992Q1","RS","Serbia","PSQM","Building permits - m2 of useful floor area","F_CC11_X_CC113","Residential buildings, except residences for communities","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
